numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,pres,tend24,raf10,rafper,per,etat_sol,ht_neige,rr1,rr3,rr6,rr12,rr24,weighted_precip,pres_diff
7149,2021-01-04 00:00:00,101420,-40,8,40,4.4,275.65,273.85,88,5070,1,2.0,2.0,100.0,8.0,100300,0.0,6.3,7.2,-10,1.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.09333333333333334,1120
7149,2021-01-04 03:00:00,101390,-30,6,40,4.2,275.55,273.65,87,5070,2,2.0,2.0,100.0,8.0,100270,-10.0,6.6,7.0,-10,1.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08000000000000002,1120
7149,2021-01-04 06:00:00,101330,-60,6,40,3.7,275.55,273.65,87,8000,1,2.0,2.0,100.0,8.0,100210,-50.0,5.9,8.0,-10,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.020000000000000004,1120
7149,2021-01-04 09:00:00,101370,40,2,40,4.8,275.25,274.25,93,5580,60,6.0,5.0,100.0,8.0,100250,-70.0,7.1,7.3,-10,1.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1120
7149,2021-01-04 12:00:00,101310,-60,8,50,3.6,275.85,274.05,88,7110,1,2.0,2.0,100.0,8.0,100190,-120.0,5.1,5.7,-10,1.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.09333333333333334,1120
7149,2021-01-04 15:00:00,101290,-20,5,50,4.1,276.15,273.85,85,8050,2,2.0,2.0,100.0,8.0,100170,-120.0,5.7,7.3,-10,1.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08000000000000002,1120
7149,2021-01-04 18:00:00,101350,60,1,40,4.4,276.05,273.45,83,11480,1,2.0,2.0,90.0,7.0,100230,-70.0,6.5,7.0,-10,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.020000000000000004,1120
7149,2021-01-04 21:00:00,101390,40,1,40,3.8,275.85,273.45,84,14750,0,2.0,2.0,100.0,8.0,100270,-70.0,5.9,7.7,-10,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.060000000000000005,1120
7149,2021-01-05 00:00:00,101400,10,2,30,5.1,275.75,273.65,86,9000,2,2.0,2.0,100.0,8.0,100280,-20.0,7.4,8.1,-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03333333333333333,1120
7149,2021-01-05 03:00:00,101420,20,1,30,4.6,275.55,273.45,86,7700,3,2.0,2.0,100.0,8.0,100300,30.0,6.3,6.5,-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03333333333333333,1120
7149,2021-01-05 06:00:00,101400,-20,6,40,4.1,275.35,274.15,92,5070,20,5.0,2.0,100.0,8.0,100280,70.0,6.0,8.5,-10,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1120
7149,2021-01-05 09:00:00,101490,90,2,50,4.8,275.55,274.05,90,5070,21,6.0,5.0,100.0,8.0,100370,120.0,6.7,7.4,-10,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1120
7149,2021-01-05 12:00:00,101490,0,0,40,4.7,275.65,273.75,87,6230,1,2.0,2.0,100.0,8.0,100370,180.0,6.9,7.1,-10,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08000000000000002,1120
7149,2021-01-05 15:00:00,101480,-10,5,40,3.9,275.95,273.65,85,7000,2,2.0,2.0,100.0,8.0,100360,190.0,5.8,7.1,-10,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.060000000000000005,1120
7149,2021-01-05 18:00:00,101530,50,2,20,4.6,276.05,273.65,84,7000,1,2.0,2.0,100.0,8.0,100410,180.0,6.7,8.1,-10,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.020000000000000004,1120
7149,2021-01-05 21:00:00,101570,40,1,30,3.7,275.75,273.65,86,5400,3,2.0,2.0,100.0,8.0,100450,180.0,5.7,7.0,-10,1.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03333333333333333,1120
7149,2021-01-06 00:00:00,101540,-30,8,20,3.5,275.35,274.15,92,3830,50,5.0,5.0,100.0,8.0,100420,140.0,5.1,7.0,-10,1.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.10000000000000002,1120
7149,2021-01-06 03:00:00,101570,30,2,20,2.9,275.75,274.15,89,4650,1,2.0,2.0,100.0,8.0,100450,150.0,4.6,5.0,-10,1.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.09333333333333334,1120
7149,2021-01-06 06:00:00,101540,-30,6,30,3.2,275.65,274.05,89,5070,3,2.0,2.0,100.0,8.0,100420,140.0,6.4,6.4,-10,1.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.04000000000000001,1120
7149,2021-01-06 09:00:00,101690,150,2,20,2.8,275.95,273.65,85,7700,2,2.0,2.0,100.0,8.0,100570,200.0,4.9,8.2,-10,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.020000000000000004,1120
7149,2021-01-06 12:00:00,101650,-40,8,30,2.0,276.25,274.25,87,8000,2,2.0,2.0,100.0,8.0,100530,160.0,3.5,5.4,-10,1.0,0.0,0.0,0.4,0.4,0.4,0.4,0.37333333333333335,1120
7149,2021-01-06 15:00:00,101640,-10,5,10,3.2,276.75,274.65,86,7000,1,2.0,2.0,100.0,8.0,100520,160.0,4.7,4.7,-10,1.0,0.0,0.0,0.0,0.4,0.4,0.4,0.32000000000000006,1120
7149,2021-01-06 18:00:00,101710,70,1,320,1.7,276.75,274.95,88,6480,3,2.0,2.0,100.0,8.0,100590,180.0,2.6,7.0,-10,1.0,0.0,-0.1,-0.1,-0.1,0.4,0.4,7.401486830834377e-18,1120
7149,2021-01-06 21:00:00,101770,60,1,320,2.2,276.65,274.85,88,10000,1,2.0,2.0,100.0,8.0,100650,200.0,3.2,5.3,-10,1.0,0.0,0.0,-0.1,-0.1,0.4,0.4,0.20666666666666664,1120
7149,2021-01-07 00:00:00,101750,-20,6,290,3.1,276.65,275.35,91,8000,2,2.0,2.0,100.0,8.0,100630,210.0,4.8,4.9,-10,1.0,0.0,0.0,0.0,-0.1,-0.1,0.4,0.08666666666666667,1120
7149,2021-01-07 03:00:00,101730,-20,8,330,2.5,275.95,274.45,90,10000,21,6.0,2.0,100.0,8.0,100610,160.0,4.6,5.1,-10,1.0,0.0,-0.1,-0.1,-0.1,-0.1,0.4,0.06666666666666667,1120
7149,2021-01-07 06:00:00,101710,-30,6,280,1.6,274.75,273.75,93,6480,3,2.0,2.0,90.0,7.0,100580,160.0,2.7,3.4,-10,1.0,0.0,0.0,0.0,-0.1,-0.1,0.4,-0.006666666666666669,1130
7149,2021-01-07 09:00:00,101760,60,3,290,2.5,275.45,274.75,95,3590,20,5.0,2.0,90.0,7.0,100640,70.0,4.5,4.5,-10,1.0,0.0,-0.1,-0.1,-0.1,-0.1,0.4,-0.06666666666666667,1120
7149,2021-01-07 12:00:00,101720,-40,8,330,2.5,276.15,274.65,90,4800,2,2.0,2.0,90.0,7.0,100600,70.0,3.8,7.0,-10,1.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08000000000000002,1120
7149,2021-01-07 15:00:00,101680,-40,5,300,2.1,276.95,273.95,81,15490,1,2.0,2.0,90.0,7.0,100560,40.0,3.1,4.1,-10,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.060000000000000005,1120
7149,2021-01-07 18:00:00,101740,60,3,300,2.5,275.45,273.85,89,20000,26,8.0,7.0,90.0,7.0,100620,30.0,3.5,4.9,-10,1.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,1120
7149,2021-01-07 21:00:00,101810,60,2,320,2.5,275.35,273.55,88,25000,1,2.0,2.0,90.0,7.0,100680,30.0,4.8,4.9,-10,1.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.09333333333333334,1130
7149,2021-01-08 00:00:00,101790,-20,8,290,1.4,274.75,273.45,91,20000,2,2.0,2.0,90.0,7.0,100660,30.0,2.0,4.1,-10,1.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.08000000000000002,1130
7149,2021-01-08 03:00:00,101810,20,3,260,1.5,274.15,273.15,93,8000,1,2.0,2.0,90.0,7.0,100680,70.0,2.3,3.7,-10,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.060000000000000005,1130
7149,2021-01-08 06:00:00,101780,-40,5,260,2.6,272.95,271.85,92,6480,1,1.0,1.0,40.0,3.0,100640,60.0,3.5,4.5,-10,1.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.020000000000000004,1140
7149,2021-01-08 09:00:00,101880,110,3,200,1.6,274.85,273.25,89,20000,3,2.0,2.0,75.0,6.0,100750,110.0,2.5,2.5,-10,1.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.006666666666666667,1130
7149,2021-01-08 12:00:00,101850,-20,8,280,2.2,276.15,273.35,82,20000,3,2.0,2.0,90.0,7.0,100730,130.0,3.6,3.8,-10,1.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03333333333333333,1120
7149,2021-01-08 15:00:00,101850,0,5,350,0.8,276.95,273.25,77,25000,3,2.0,2.0,90.0,7.0,100730,170.0,1.5,3.5,-10,1.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03333333333333333,1120
7149,2021-01-08 18:00:00,101960,110,1,130,0.9,276.15,273.55,83,25000,1,2.0,2.0,90.0,7.0,100840,220.0,1.5,2.8,-10,1.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.006666666666666667,1120
7149,2021-01-09 00:00:00,102110,40,1,360,0.9,272.55,271.85,95,5070,1,0.0,0.0,0.0,0.0,100970,310.0,1.0,1.8,-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-09 03:00:00,102200,80,3,0,0.0,271.85,271.05,94,3900,2,0.0,0.0,0.0,0.0,101050,370.0,0.9,2.1,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150
7149,2021-01-09 06:00:00,102200,10,3,40,4.2,272.65,271.25,90,10000,3,1.0,1.0,90.0,7.0,101060,420.0,7.2,7.6,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-09 09:00:00,102400,200,3,30,3.1,273.35,272.45,94,6000,3,2.0,2.0,90.0,7.0,101260,510.0,6.0,6.0,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-09 12:00:00,102360,-30,8,50,5.2,276.25,272.25,75,14000,3,0.0,0.0,10.0,1.0,101230,500.0,8.1,8.9,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130
7149,2021-01-09 15:00:00,102350,-10,5,60,6.3,276.85,272.25,72,14580,3,0.0,0.0,50.0,4.0,101220,490.0,9.7,11.2,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130
7149,2021-01-09 18:00:00,102450,90,3,20,4.4,274.45,272.35,86,16000,2,0.0,0.0,10.0,1.0,101310,470.0,6.4,8.0,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-09 21:00:00,102560,110,1,30,4.7,273.55,271.75,88,16000,2,0.0,0.0,0.0,0.0,101420,490.0,7.8,8.8,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-10 00:00:00,102560,0,0,30,3.7,272.95,272.15,94,10000,3,2.0,2.0,90.0,7.0,101420,450.0,6.1,7.0,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-10 03:00:00,102570,0,4,20,3.6,272.65,271.85,94,5070,1,2.0,2.0,60.0,5.0,101420,370.0,5.7,6.6,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150
7149,2021-01-10 06:00:00,102560,-10,7,40,3.8,272.75,271.95,94,5070,1,2.0,2.0,90.0,7.0,101410,350.0,6.6,6.6,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150
7149,2021-01-10 09:00:00,102590,40,3,360,3.3,273.05,272.05,93,7000,1,1.0,1.0,10.0,1.0,101450,190.0,4.8,7.7,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-10 12:00:00,102580,0,0,360,3.6,276.05,272.45,77,11000,2,0.0,0.0,0.0,0.0,101450,220.0,5.2,7.3,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130
7149,2021-01-10 15:00:00,102510,-70,5,40,4.6,277.25,270.65,62,26490,3,0.0,0.0,10.0,1.0,101380,160.0,6.8,7.1,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130
7149,2021-01-10 18:00:00,102550,30,1,20,2.2,273.65,270.45,79,15000,2,0.0,0.0,0.0,0.0,101410,100.0,3.6,4.8,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-10 21:00:00,102600,40,3,340,2.2,272.05,271.05,93,15000,3,0.0,0.0,10.0,1.0,101450,30.0,5.4,5.4,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150
7149,2021-01-11 00:00:00,102550,-50,7,290,1.6,271.25,270.25,93,12000,2,0.0,0.0,0.0,0.0,101400,-20.0,2.4,2.4,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150
7149,2021-01-11 03:00:00,102570,20,3,270,2.0,271.15,270.45,95,320,40,0.0,0.0,50.0,4.0,101420,0.0,2.5,2.7,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150
7149,2021-01-11 06:00:00,102510,-50,7,220,1.9,272.75,272.15,96,8000,1,2.0,2.0,90.0,7.0,101370,-40.0,2.8,3.2,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-11 09:00:00,102560,50,3,210,1.6,273.95,272.75,92,6000,1,2.0,2.0,90.0,7.0,101420,-30.0,2.4,2.5,-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140
7149,2021-01-11 12:00:00,102460,-90,8,220,3.6,275.95,273.65,85,16000,2,2.0,2.0,90.0,7.0,101330,-120.0,5.6,6.1,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130
7149,2021-01-11 15:00:00,102350,-100,6,230,4.0,277.05,274.55,84,16000,1,2.0,2.0,90.0,7.0,101230,-150.0,6.2,6.2,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-11 18:00:00,102270,-90,6,230,3.4,276.75,274.25,84,13000,3,2.0,2.0,90.0,7.0,101140,-270.0,6.0,6.7,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130
7149,2021-01-11 21:00:00,102210,-50,8,210,4.9,276.85,274.35,84,10000,3,2.0,2.0,90.0,7.0,101090,-360.0,8.4,8.6,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-12 00:00:00,102060,-150,8,220,4.8,277.25,274.75,84,10000,3,2.0,2.0,90.0,7.0,100940,-460.0,8.6,10.3,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-12 03:00:00,101920,-140,8,230,6.1,277.75,275.25,84,15000,3,2.0,2.0,90.0,7.0,100800,-620.0,9.5,10.8,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120
7149,2021-01-12 06:00:00,101630,-280,7,230,6.2,278.05,276.85,92,9000,61,6.0,6.0,90.0,7.0,100520,-850.0,10.1,11.6,-10,2.0,0.0,0.2,0.4,0.4,0.4,0.4,0.3333333333333333,1110
7149,2021-01-12 09:00:00,101600,-30,8,240,7.1,279.65,278.25,91,20000,21,6.0,2.0,100.0,8.0,100490,-930.0,10.9,11.7,-10,2.0,0.0,-0.1,-0.1,0.4,0.4,0.4,0.10000000000000003,1110
7149,2021-01-12 12:00:00,101500,-90,8,250,8.2,280.85,279.45,91,15000,61,6.0,6.0,100.0,8.0,100400,-930.0,12.6,13.6,-10,2.0,0.0,0.2,0.4,0.4,0.8,0.8,0.6266666666666667,1100
7149,2021-01-12 15:00:00,101480,-10,5,260,3.0,281.85,281.25,96,3000,58,6.0,6.0,100.0,8.0,100390,-840.0,5.0,7.6,-10,2.0,0.0,0.4,1.2,1.6,2.0,2.0,1.7066666666666666,1090
7149,2021-01-12 18:00:00,101690,200,3,360,2.6,280.65,280.25,97,2760,58,6.0,6.0,100.0,8.0,100590,-550.0,3.8,7.3,-10,2.0,0.0,0.6,3.0,4.2,4.6,5.0,2.7866666666666666,1100
7149,2021-01-12 21:00:00,101960,260,2,10,2.3,280.05,279.65,97,2500,50,5.0,5.0,100.0,8.0,100850,-240.0,3.3,6.7,-10,2.0,0.0,-0.1,0.4,3.4,5.0,5.4,3.86,1110
7149,2021-01-13 03:00:00,102180,40,3,240,1.3,278.75,278.15,96,3640,10,2.0,2.0,100.0,8.0,101060,260.0,2.0,2.6,-10,1.0,0.0,0.0,-0.1,0.2,3.6,5.6,2.853333333333333,1120
7149,2021-01-13 06:00:00,102180,10,2,240,1.7,278.95,278.65,98,2750,50,5.0,5.0,100.0,8.0,101070,550.0,2.3,2.7,-10,2.0,0.0,-0.1,-0.1,-0.1,0.6,5.2,0.3466666666666667,1110
7149,2021-01-13 09:00:00,102190,10,3,210,1.6,279.75,279.45,98,2170,51,6.0,5.0,100.0,8.0,101080,590.0,2.7,4.2,-10,2.0,0.0,0.2,0.4,0.4,0.6,5.6,0.7066666666666667,1110
7149,2021-01-13 12:00:00,102090,-90,8,270,6.5,282.85,281.75,93,15000,1,2.0,2.0,100.0,7.0,100990,590.0,10.4,10.4,-10,2.0,0.0,0.0,1.2,1.6,1.6,6.4,3.04,1100
7149,2021-01-13 15:00:00,102020,-70,6,280,6.7,282.85,281.25,90,20000,58,6.0,5.0,100.0,7.0,100920,530.0,11.7,11.7,-10,1.0,0.0,-0.1,-0.1,1.2,1.6,5.2,2.38,1100
7149,2021-01-13 18:00:00,102030,10,3,280,7.7,282.05,280.95,93,15000,51,5.0,5.0,100.0,7.0,100930,340.0,13.0,13.0,-10,2.0,0.0,0.2,0.2,0.2,1.8,2.4,0.5599999999999999,1100
7149,2021-01-13 21:00:00,102080,50,2,290,7.4,282.05,280.65,91,12000,50,5.0,2.0,100.0,8.0,100980,130.0,12.5,13.0,-10,2.0,0.0,-0.1,-0.1,0.2,1.4,2.0,1.06,1100
7149,2021-01-14 00:00:00,102130,50,0,280,4.7,281.75,280.55,92,12000,50,5.0,5.0,100.0,8.0,101030,10.0,7.7,11.3,-10,2.0,0.0,-0.1,-0.1,-0.1,0.2,1.8,0.6133333333333334,1100
7149,2021-01-14 03:00:00,102050,-80,6,260,5.0,282.05,280.15,88,20000,1,2.0,2.0,100.0,8.0,100950,-110.0,8.1,10.0,-10,2.0,0.0,0.0,-0.1,-0.1,0.2,1.8,0.62,1100
7149,2021-01-14 06:00:00,101890,-160,8,260,6.0,281.55,280.15,91,20000,21,6.0,2.0,100.0,8.0,100790,-280.0,9.2,11.8,-10,2.0,0.0,-0.1,-0.1,-0.1,-0.1,1.8,0.02666666666666667,1100
7149,2021-01-14 09:00:00,101830,-60,6,250,5.8,282.05,279.85,86,25000,1,2.0,2.0,90.0,7.0,100730,-350.0,9.4,12.0,-10,2.0,0.0,0.0,0.0,-0.1,-0.1,1.4,0.05999999999999999,1100
7149,2021-01-14 12:00:00,101630,-200,8,240,5.5,282.15,281.05,93,14000,60,6.0,6.0,100.0,7.0,100530,-460.0,9.5,10.1,-10,2.0,0.0,0.2,0.2,0.2,0.2,0.4,0.26666666666666666,1100
7149,2021-01-14 15:00:00,101350,-270,6,260,6.0,283.75,281.85,88,38900,21,6.0,2.0,100.0,7.0,100260,-660.0,9.3,12.4,-10,2.0,0.0,-0.1,-0.1,0.2,0.2,0.4,0.20666666666666664,1090
7149,2021-01-14 18:00:00,101370,20,1,280,8.0,282.65,280.75,88,20000,60,6.0,2.0,90.0,7.0,100280,-650.0,12.2,15.9,-10,2.0,0.0,-0.1,-0.1,-0.1,0.2,0.2,-0.04,1090
7149,2021-01-14 21:00:00,101430,50,3,310,8.0,280.65,278.65,87,6480,60,6.0,2.0,100.0,7.0,100330,-650.0,12.4,12.8,-10,2.0,0.0,0.2,0.6,0.6,0.8,0.8,0.6933333333333332,1100
7149,2021-01-15 00:00:00,101800,350,3,340,7.8,276.15,274.15,87,19770,60,6.0,2.0,100.0,7.0,100680,-350.0,12.3,14.0,-10,2.0,0.0,-0.1,0.6,1.2,1.2,1.4,1.1,1120
7149,2021-01-15 03:00:00,102150,340,2,350,6.5,275.35,273.75,89,12480,2,2.0,2.0,100.0,7.0,101020,70.0,9.5,11.1,-10,2.0,0.0,0.0,-0.1,0.6,1.2,1.4,0.8933333333333334,1130
7149,2021-01-15 06:00:00,102350,200,2,350,5.7,275.15,272.85,85,12000,3,2.0,2.0,100.0,7.0,101220,430.0,11.2,14.0,-10,1.0,0.0,0.0,0.0,-0.1,1.2,1.4,0.23333333333333334,1130
7149,2021-01-15 09:00:00,102690,330,2,10,5.5,274.25,272.45,88,14000,3,2.0,2.0,100.0,8.0,101550,820.0,10.6,11.8,-10,1.0,0.0,-0.1,-0.1,-0.1,0.6,1.4,0.09333333333333332,1140
7149,2021-01-15 12:00:00,102860,170,1,30,5.7,275.65,271.15,72,20000,1,1.0,1.0,50.0,4.0,101720,1190.0,8.7,10.7,-10,1.0,0.0,0.0,0.0,-0.1,-0.1,1.2,0.35333333333333333,1140
7149,2021-01-15 15:00:00,102960,100,3,40,4.6,275.55,269.85,66,19150,1,2.0,2.0,90.0,7.0,101820,1560.0,7.2,9.0,-10,1.0,0.0,0.0,0.0,0.0,-0.1,1.2,0.3733333333333333,1140
7149,2021-01-15 18:00:00,103120,150,1,60,4.2,274.25,268.55,66,20000,2,2.0,2.0,90.0,7.0,101970,1690.0,5.9,8.1,-10,0.0,0.0,0.0,0.0,0.0,-0.1,1.2,0.06666666666666667,1150
7149,2021-01-15 21:00:00,103200,80,3,80,2.8,274.05,268.05,64,20000,1,2.0,2.0,90.0,7.0,102050,1720.0,5.1,6.5,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,1150
7149,2021-01-16 00:00:00,103140,-60,8,120,1.6,273.65,268.05,66,20000,2,2.0,2.0,90.0,7.0,101990,1310.0,2.5,3.8,-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.03333333333333333,1150
